raw,monotone,lisse,reciproque,verif
-1.420031785,-1.973876,-1.973876,-1.420032,0.020726
-2.214991331,-1.972168,-1.972168,-2.214991,-1.667861
-1.858042716,-1.970459,-1.970459,-1.858043,-0.311728
-1.873798966,-1.968750,-1.968750,-1.873799,-0.343206
-1.990674376,-1.967041,-1.967041,-1.990674,-0.673173
-2.026649713,-1.965808,-1.965808,-2.026650,-1.037817
-1.953719496,-1.964574,-1.964574,-1.953719,-0.552042
-2.065532207,-1.963340,-1.963340,-2.065532,-1.084450
-2.113987684,-1.962209,-1.962209,-2.113988,-1.132519
-1.9771142,-1.961245,-1.961245,-1.977114,-0.645427
-2.139058351,-1.960281,-1.960281,-2.139058,-1.167477
-2.006571769,-1.959317,-1.959317,-2.006572,-0.717878
-2.131264925,-1.958010,-1.958010,-2.131265,-1.153647
-1.775573372,-1.955748,-1.955748,-1.775573,-0.165542
-2.114909887,-1.954236,-1.954236,-2.114910,-1.133523
-1.92931652,-1.952720,-1.952720,-1.929317,-0.463998
-1.945814609,-1.951214,-1.951214,-1.945815,-0.516699
-2.142105817,-1.949911,-1.949911,-2.142106,-1.183260
-1.73463428,-1.948603,-1.948603,-1.734634,-0.129558
-1.966821551,-1.947295,-1.947295,-1.966822,-0.615059
-2.034853935,-1.945987,-1.945987,-2.034854,-1.053005
-1.856101632,-1.944620,-1.944620,-1.856102,-0.308225
-2.120173454,-1.943254,-1.943254,-2.120173,-1.139484
-1.88007605,-1.941726,-1.941726,-1.880076,-0.356665
-2.103835105,-1.940199,-1.940199,-2.103835,-1.121749
-2.029975652,-1.938118,-1.938118,-2.029976,-1.045095
-1.994757175,-1.935190,-1.935190,-1.994757,-0.684113
-1.806327342,-1.932262,-1.932262,-1.806327,-0.210643
-1.694493412,-1.929287,-1.929287,-1.694493,-0.108609
-2.132895708,-1.926312,-1.926312,-2.132896,-1.156059
-1.660854935,-1.923163,-1.923163,-1.660855,-0.094647
-1.786284565,-1.920356,-1.920356,-1.786285,-0.179245
-1.945381641,-1.918506,-1.918506,-1.945382,-0.514745
-1.943276166,-1.916655,-1.916655,-1.943276,-0.505243
-2.017125368,-1.914809,-1.914809,-2.017125,-0.810277
-2.079395294,-1.912963,-1.912963,-2.079395,-1.097549
-1.918965935,-1.910342,-1.910342,-1.918966,-0.440339
-1.839197993,-1.907725,-1.907725,-1.839198,-0.274304
-2.032725572,-1.904781,-1.904781,-2.032726,-1.049593
-1.843255639,-1.901152,-1.901152,-1.843256,-0.283220
-1.874172449,-1.897582,-1.897582,-1.874172,-0.344007
-2.043984413,-1.894011,-1.894011,-2.043984,-1.064036
-1.970242261,-1.890496,-1.890496,-1.970242,-0.627923
-1.813918948,-1.886485,-1.886485,-1.813919,-0.224291
-1.72428894,-1.883027,-1.883027,-1.724289,-0.123577
-2.048500776,-1.880416,-1.880416,-2.048501,-1.068495
-1.735342025,-1.877455,-1.877455,-1.735342,-0.130039
-1.887029051,-1.874541,-1.874541,-1.887029,-0.369921
-1.87773025,-1.871628,-1.871628,-1.877730,-0.351639
