raw,monotone,lisse,reciproque,verif
-2.109415054,-1.724303,-1.724303,-2.109415,-1.737752
-1.932989716,-1.723379,-1.723379,-1.932990,-1.567234
-2.044173955,-1.722544,-1.722544,-2.044174,-1.656176
-2.063152551,-1.721708,-1.721708,-2.063153,-1.669473
-1.957112908,-1.720873,-1.720873,-1.957113,-1.592375
-1.869120359,-1.720201,-1.720201,-1.869120,-1.126954
-2.064274072,-1.720201,-1.720201,-2.064274,-1.670291
-2.080836534,-1.720201,-1.720201,-2.080837,-1.682892
-2.002757787,-1.720201,-1.720201,-2.002758,-1.624934
-1.675598382,-1.720201,-1.720201,-1.675598,-0.634982
-2.115244388,-1.720201,-1.720201,-2.115244,-1.760258
-1.980373263,-1.720201,-1.720201,-1.980373,-1.608612
-2.10583496,-1.720201,-1.720201,-2.105835,-1.723929
-1.637345671,-1.720201,-1.720201,-1.637346,-0.517497
-2.067236185,-1.720201,-1.720201,-2.067236,-1.672453
-1.954154133,-1.720201,-1.720201,-1.954154,-1.590309
-1.361036658,-1.720201,-1.720201,-1.361037,-0.228010
-2.085192918,-1.720201,-1.720201,-2.085193,-1.686577
-2.01645565,-1.720201,-1.720201,-2.016456,-1.635335
-1.564369797,-1.720201,-1.720201,-1.564370,-0.410898
-2.024800062,-1.720201,-1.720201,-2.024800,-1.641671
-2.022923946,-1.720201,-1.720201,-2.022924,-1.640246
-1.748280167,-1.720201,-1.720201,-1.748280,-1.052419
-2.033529996,-1.720201,-1.720201,-2.033530,-1.648300
-1.691125392,-1.720201,-1.720201,-1.691125,-0.659268
-1.972365975,-1.720201,-1.720201,-1.972366,-1.603022
-1.968491554,-1.720201,-1.720201,-1.968492,-1.600318
-1.940399885,-1.720201,-1.720201,-1.940400,-1.580254
-2.0522933,-1.720201,-1.720201,-2.052293,-1.661811
-1.923208117,-1.720201,-1.720201,-1.923208,-1.515296
-1.999829769,-1.720201,-1.720201,-1.999830,-1.622711
-1.878961563,-1.720201,-1.720201,-1.878962,-1.133349
-1.989331007,-1.720201,-1.720201,-1.989331,-1.614865
-1.73732376,-1.720201,-1.720201,-1.737324,-1.044116
-1.04605019,-1.720201,-1.720201,-1.046050,-0.088101
-1.957110881,-1.720201,-1.720201,-1.957111,-1.592373
-1.647210478,-1.720201,-1.720201,-1.647210,-0.570327
